,FP,SALARY,VALUE,MIN,PTS,REB,AST,STL,BLK,TO,PLAYER_NAME
1,60.4,"$10,100",5.98,34.33,28.4,8.7,10.3,1.4,0.9,4.7,LeBron James PG/SF
3,54.7,"$10,000",5.47,34.63,27.0,9.6,9.4,1.1,0.4,3.8,Luka Doncic PG
5,51.8,"$10,600",4.88,35.32,21.6,11.7,7.5,1.3,0.8,3.6,Nikola Jokic C
7,50.6,"$10,200",4.96,32.67,21.8,9.4,9.8,1.6,0.4,3.3,Russell Westbrook PG
9,50.5,"$9,600",5.26,35.19,26.8,8.5,5.5,2.1,0.6,3.0,Kawhi Leonard SF
11,48.3,"$9,400",5.14,35.39,28.8,3.9,7.7,1.4,0.3,3.0,Stephen Curry PG
13,47.9,"$9,700",4.94,34.08,25.3,9.6,3.2,1.2,1.9,2.5,Anthony Davis PF/C
15,46.1,"$9,300",4.95,34.17,25.7,7,5.2,1.1,0.4,2.2,Kevin Durant PF
17,45.1,"$8,700",5.18,34.02,23.7,6.5,5.3,1.9,0.4,3.4,Paul George SG
19,45.0,"$9,000",5,33.97,26.7,4.7,5.6,1.3,0.2,2.4,Kyrie Irving PG
21,44.5,"$9,800",4.54,35.71,27.0,4.6,6.8,0.8,0.3,2.4,Damian Lillard PG
23,43.5,"$7,100",6.12,34.82,27.9,4.5,4.4,1.1,0.2,3.0,Donovan Mitchell PG/SG
25,43.3,"$9,100",4.76,35.93,28.1,3.7,5.1,1.3,0.3,2.8,Bradley Beal SG
27,39.8,"$7,700",5.16,34.29,21.2,4.4,7.9,0.7,0.3,3.8,Devin Booker SG
29,39.5,"$7,300",5.41,34.80,24.4,4.1,4.6,1.4,0.4,3.7,Zach LaVine SG
33,37.8,"$8,400",4.5,35.67,22.8,3.9,4.0,1.0,0.7,1.6,Jamal Murray PG
35,37.4,"$7,400",5.05,32.07,20.1,3.7,6.3,1.2,0.3,3.5,D'Angelo Russell PG/SG
37,37.3,"$7,000",5.33,32.59,16.2,4.6,8.6,1.7,0.1,2.3,Chris Paul PG
39,36.5,"$7,500",4.87,34.02,19.5,4.9,6.4,1.0,0.3,2.6,DeMar DeRozan SF/PF
41,36.1,"$7,200",5.02,30.71,14.0,12.3,1.1,0.6,1.6,1.6,Rudy Gobert C
43,35.7,"$7,100",5.03,30.27,16.4,10.4,1.5,0.6,1.2,2.1,Deandre Ayton C
45,35.5,"$6,700",5.29,31.06,14.8,6.8,5.5,2.1,0.2,2.3,Dejounte Murray PG
47,34.7,"$5,400",6.43,33.34,14.7,7.6,4.6,1.3,0.7,2.1,Will Barton SG/SF
49,34.6,"$6,600",5.24,32.25,15.5,8.8,1.8,0.7,2.0,1.8,Thomas Bryant C
51,33.4,"$8,000",4.18,29.07,13.6,10,2.0,0.6,1.0,1.6,Jonas Valanciunas C
53,33.3,"$6,900",4.82,33.59,17.8,3,5.6,0.9,0.1,1.9,Mike Conley PG
55,32.7,"$6,800",4.81,33.39,18.7,2.9,5.6,0.9,0.2,2.4,Dennis Schroder PG/SG
57,31.9,"$6,200",5.15,30.17,15.2,8.5,1.9,0.4,1.2,1.0,LaMarcus Aldridge C
59,31.9,"$6,400",4.98,26.34,13.6,9.2,1.9,0.7,1.4,1.9,Jusuf Nurkic C
61,31.6,"$6,900",4.58,33.52,17.8,5.9,2.6,0.9,0.6,2.1,Andrew Wiggins SG/SF
63,31.4,"$5,900",5.32,32.49,21.1,4,2.2,0.5,0.1,2.3,Bojan Bogdanovic SF/PF
65,30.8,"$3,900",7.9,19.78,13.3,8.2,1.5,1.1,1.1,1.7,Gorgui Dieng C
67,30.2,"$5,700",5.29,26.48,14.5,7.8,1.5,0.4,1.2,1.7,Serge Ibaka C
69,29.7,"$6,200",4.78,34.85,17.2,4.2,3.4,0.8,0.0,2.2,Coby White PG/SG
71,29.3,"$6,300",4.64,31.51,20.3,3.2,1.8,0.8,0.3,1.7,Dillon Brooks SG/SF
73,28.8,"$6,500",4.43,26.15,15.3,3.3,4.4,1.3,0.3,2.5,Caris LeVert PG/SG
75,28.5,"$6,100",4.67,31.77,16.2,4.9,1.9,1.4,0.3,1.3,Keldon Johnson SG/SF
77,28.4,"$5,000",5.68,34.65,15.6,3.5,3.4,1.3,0.4,2.3,Josh Richardson SG/SF
79,28.0,"$6,000",4.66,30.27,13.0,8.3,1.5,0.7,0.9,1.7,Wendell Carter Jr. C
81,27.6,"$5,000",5.53,33.36,9.4,7.5,2.0,1.9,1.4,1.5,Robert Covington PF
83,27.5,"$6,300",4.36,25.12,14.6,6.9,1.4,0.5,1.0,1.7,Montrezl Harrell C
85,27.4,"$5,600",4.89,24.12,10.7,9.1,1.3,0.5,1.5,1.3,Jarrett Allen C
87,27.4,"$6,400",4.28,33.01,11.1,7.7,2.3,0.9,0.7,1.5,Kyle Anderson SF/PF
89,27.1,"$4,200",6.44,31.63,15.3,4.6,2.1,0.9,0.2,1.3,Lonnie Walker SG
91,27.1,"$5,800",4.66,35.26,11.6,5.2,2.0,1.4,0.9,1.2,Mikal Bridges SF
93,26.9,"$5,000",5.39,28.64,9.0,4.1,7.5,1.4,0.1,2.9,Ricky Rubio PG
95,26.5,"$5,100",5.2,25.52,12.9,6.2,2.0,0.7,0.8,1.5,Rudy Gay SF/PF
97,26.5,"$4,300",6.16,24.05,14.3,5.9,1.8,0.9,0.6,1.8,Carmelo Anthony PF
99,26.0,"$4,800",5.41,23.88,16.7,2.6,2.2,0.8,0.1,1.4,Jordan Clarkson PG/SG
101,25.6,"$5,800",4.41,31.19,16.2,3.3,2.0,0.7,0.1,1.0,Tim Hardaway Jr. SG
103,25.6,"$4,700",5.44,28.90,10.9,3.4,5.4,0.7,0.1,1.8,Joe Ingles SG/SF
105,25.4,"$5,500",4.61,27.45,12.1,5.9,1.5,0.9,1.2,1.1,Naz Reid C
107,25.3,"$6,000",4.22,30.65,13.8,5.4,1.3,1.0,0.7,1.2,Kelly Oubre SF/PF
109,25.2,"$3,300",7.62,24.49,14.3,4.2,1.1,0.8,0.2,0.8,Timothe Luwawu-Cabarrot SF
111,24.9,"$5,900",4.22,32.84,14.8,3.9,1.7,0.7,0.2,1.5,Malik Beasley SG
113,24.6,"$6,200",3.97,28.94,13.0,4.5,2.0,1.2,0.4,1.1,Otto Porter SF/PF
115,24.5,"$4,500",5.45,28.95,10.5,5.7,2.0,1.0,0.9,1.1,Paul Millsap PF/C
117,24.4,"$5,200",4.7,24.37,12.7,4.5,1.5,1.4,0.5,1.4,Anthony Edwards SG/SF
119,24.2,"$3,900",6.21,26.44,11.2,4.9,2.1,1.5,0.4,1.4,Thaddeus Young PF
121,23.5,"$4,900",4.8,29.56,10.6,5.4,2.0,1.0,0.6,1.2,Jae Crowder SF/PF
123,23.4,"$4,600",5.09,30.66,9.7,5.2,1.2,1.2,0.8,0.8,Derrick Jones Jr. SF/PF
125,23.0,"$5,700",4.04,30.05,12.3,4.2,1.9,0.7,0.3,1.4,Joe Harris SG/SF
127,22.9,"$4,900",4.66,20.37,9.4,7.2,0.9,0.5,1.2,0.6,Enes Kanter C
129,22.5,"$4,200",5.36,30.29,10.0,6,1.6,0.6,0.6,1.0,Dorian Finney-Smith SF/PF
131,22.2,"$5,200",4.26,22.11,12.2,3.6,1.5,0.8,0.4,1.2,James Wiseman C
133,22.0,"$4,700",4.69,23.36,12.5,3.5,1.3,0.7,0.3,1.1,Davis Bertans PF
135,21.9,"$5,400",4.05,25.99,9.2,7,1.1,0.5,0.9,1.1,Brandon Clarke PF/C
137,21.7,"$5,600",3.88,22.51,12.4,4.1,1.4,0.6,0.3,1.3,Kyle Kuzma SF/PF
139,21.7,"$5,800",3.74,21.58,7.7,3.9,4.5,1.1,0.4,1.9,Draymond Green PF/C
141,21.5,"$4,600",4.68,26.27,10.1,2.5,4.4,0.9,0.1,1.2,Monte Morris PG
143,21.5,"$5,400",3.98,30.65,8.4,2,5.8,1.2,0.1,1.4,Tyus Jones PG
145,21.3,"$3,400",6.27,21.85,11.2,1.7,3.6,0.9,0.1,1.0,Trey Burke PG/SG
147,21.2,"$4,800",4.42,33.88,7.0,4,4.4,0.9,0.4,1.4,Nicolas Batum SF/PF
149,20.8,"$4,600",4.53,24.19,10.9,2.1,4.0,0.5,0.2,1.8,Lou Williams PG/SG
151,20.8,"$5,200",4,25.51,11.0,4.9,1.5,0.7,0.2,1.1,Rui Hachimura PF
153,20.8,"$3,900",5.33,27.46,7.0,3.6,3.5,1.2,0.6,1.5,Patrick Beverley PG
155,20.6,"$3,800",5.41,33.37,9.4,3.7,2.2,1.6,0.3,1.1,Gary Harris SG/SF
157,20.4,"$4,800",4.24,17.72,6.7,7.6,1.3,0.4,1.0,1.2,DeAndre Jordan C
159,20.1,"$4,100",4.91,21.89,11.9,3.3,1.3,0.7,0.3,0.6,Cameron Johnson SF/PF
161,20.1,"$3,600",5.59,23.09,10.7,3.5,1.7,0.7,0.2,0.9,Garrett Temple SG/SF
163,19.6,"$4,300",4.55,26.57,7.7,5.8,1.4,0.6,0.7,0.9,Dwight Powell C
165,19.3,"$4,200",4.59,16.25,9.5,2.7,2.9,0.8,0.3,1.4,Cameron Payne PG
167,19.3,"$4,500",4.28,18.67,5.5,5.9,1.8,0.6,1.4,0.6,Jakob Poeltl C
169,19.2,"$4,400",4.36,33.72,4.9,6.1,2.9,0.8,0.6,1.0,Royce O'Neale SF/PF
171,19.2,"$3,700",5.18,23.06,12.5,1.6,1.4,0.9,0.0,1.0,Patrick Mills PG/SG
173,19.1,"$4,300",4.43,23.31,9.5,3.4,1.9,0.9,0.4,1.2,Patrick Williams SF/PF
175,18.8,"$5,300",3.54,24.90,7.6,4.5,1.3,1.1,0.6,1.4,Deni Avdija SF/PF
177,18.5,"$4,000",4.62,21.97,8.1,4.9,0.9,0.4,0.9,0.8,Maxi Kleber PF/C
179,18.3,"$3,700",4.93,24.25,6.8,3.6,2.9,1.1,0.3,1.2,De'Anthony Melton PG/SG
181,18.1,"$3,600",5.03,20.05,10.4,1.9,2.8,0.5,0.1,1.2,Luke Kennard SG/SF
183,18.0,"$4,400",4.08,15.84,8.2,5.6,0.8,0.3,0.6,0.5,Ivica Zubac C
185,17.8,"$4,200",4.24,20.42,5.9,4.9,2.0,0.8,0.9,1.2,Marc Gasol C
187,17.3,"$3,900",4.42,26.88,10.0,2.2,1.4,0.8,0.2,0.9,Kentavious Caldwell-Pope SG/SF
191,17.2,"$3,400",5.05,22.10,9.1,2.3,3.1,0.4,0.2,1.7,Gary Trent Jr. SG/SF
193,17.2,"$4,000",4.29,17.09,6.7,6.8,0.8,0.2,0.4,0.9,Derrick Favors C
195,17.1,"$3,300",5.17,16.77,9.1,2.5,1.2,0.8,0.4,0.8,Denzel Valentine SG
197,16.8,"$3,200",5.26,18.34,8.0,4.1,1.1,0.9,0.2,1.2,Taurean Prince SF/PF
199,16.2,"$3,300",4.92,16.65,8.6,3.5,1.2,0.4,0.1,1.2,Markieff Morris PF/C
201,15.8,"$4,000",3.94,15.83,9.1,2.9,1.5,0.4,0.1,0.9,Eric Paschall SF/PF
203,15.7,"$3,200",4.89,16.31,5.7,5,1.5,0.8,0.2,1.1,Juan Hernangomez PF
205,15.6,"$4,100",3.81,28.18,7.4,3.1,1.5,0.8,0.5,1.0,Jarrett Culver PF
207,15.5,"$3,400",4.56,18.60,6.0,4.4,0.8,0.4,1.2,0.8,Daniel Gafford C
209,15.4,"$3,200",4.81,16.20,6.8,2,2.6,1.0,0.2,0.9,Brad Wanamaker PG
211,14.7,"$3,500",4.2,17.37,8.2,2,1.5,0.6,0.1,0.7,Damion Lee PG/SG
213,14.7,"$3,400",4.31,16.77,5.5,4,0.7,0.7,0.7,0.7,JaMychal Green PF
215,13.9,"$3,700",3.76,16.81,6.2,3.8,0.8,0.2,0.9,1.3,Robin Lopez C
217,13.8,"$3,800",3.63,16.72,6.8,3.9,1.0,0.2,0.1,0.8,Dario Saric PF/C
219,13.6,"$3,200",4.26,18.98,7.1,2.3,1.2,0.5,0.3,0.5,Landry Shamet SG
221,13.2,"$4,000",3.3,16.24,6.1,1.8,2.2,0.7,0.0,1.1,Raul Neto PG/SG
223,12.4,"$3,300",3.77,13.94,5.3,2.9,1.3,0.7,0.1,0.5,Troy Brown SG/SF
225,12.1,"$4,400",2.75,13.34,4.6,1.8,2.5,0.5,0.3,0.7,Ish Smith PG
227,11.9,"$3,700",3.21,12.89,4.3,2.5,1.7,0.7,0.5,1.0,James Johnson SF/PF
229,11.7,"$3,500",3.33,27.51,6.7,2.2,1.0,0.2,0.1,0.9,Grayson Allen SG
231,11.5,"$3,300",3.49,13.90,5.5,1.7,2.4,0.3,0.1,1.0,Jalen Brunson PG
233,11.5,"$3,000",3.83,13.54,4.1,1.4,2.9,0.8,0.1,1.0,Jordan McLaughlin PG
235,11.5,"$3,000",3.83,14.22,4.6,3.3,0.4,0.4,0.4,0.4,Trey Lyles PF/C
237,10.9,"$3,400",3.21,14.00,4.6,1.9,1.3,0.7,0.4,0.8,Juan Toscano-Anderson PF
239,10.2,"$3,300",3.09,15.55,3.7,4.6,0.2,0.2,0.1,0.3,Ed Davis C
241,9.9,"$3,000",3.28,12.10,5.5,1.6,0.8,0.2,0.1,0.3,Mychal Mulder SG
243,9.8,"$3,000",3.27,15.84,4.4,1.6,0.8,0.8,0.4,0.4,Jevon Carter PG/SG
245,9.8,"$3,500",2.79,16.65,4.4,2,1.0,0.5,0.3,0.5,Jake Layman SF/PF
247,9.6,"$3,100",3.1,11.69,4.3,1.2,1.2,0.7,0.2,0.4,Talen Horton-Tucker SF
249,9.3,"$3,300",2.82,11.47,3.2,2.8,0.7,0.5,0.4,0.5,Kevon Looney C
251,9.2,"$3,100",2.96,10.91,4.9,1.7,0.5,0.4,0.3,0.5,Jeff Green PF/C
253,8.9,"$3,600",2.47,10.22,4.6,1.2,1.6,0.2,0.0,0.6,Reggie Jackson PG
255,8.1,"$3,300",2.45,16.25,4.4,1.4,1.0,0.3,0.1,0.7,Wesley Matthews SG
257,8.0,"$3,200",2.51,12.01,3.2,2.9,0.2,0.1,0.4,0.2,Willie Cauley-Stein C
259,7.6,"$3,000",2.53,8.21,4.4,0.8,0.5,0.3,0.1,0.3,Langston Galloway PG/SG
261,6.7,"$3,500",1.9,9.54,3.1,1.6,0.7,0.2,0.1,0.4,John Konchar SG/SF
263,6.0,"$3,100",1.94,7.93,3.2,1,0.5,0.3,0.1,0.5,Anfernee Simons PG/SG
265,4.0,"$3,000",1.33,4.16,1.7,1.3,0.1,0.1,0.2,0.2,Isaiah Hartenstein C
267,3.1,"$3,000",1.02,5.28,2.0,0.6,0.2,0.0,0.0,0.0,Georges Niang SF/PF
269,2.4,"$3,000",0.8,6.03,1.3,0.4,0.4,0.0,0.0,0.4,Facundo Campazzo PG/SG
271,1.6,"$3,000",0.54,1.11,0.9,0.3,0.1,0.0,0.0,0.1,Josh Green SF
273,1.4,"$3,000",0.45,0.12,0.9,0,0.0,0.0,0.0,0.0,Tre Jones PG
275,1.2,"$3,000",0.4,0.11,0.8,0,0.0,0.0,0.0,0.0,Anthony Gill PF
277,1.0,"$3,100",0.31,0.87,0.4,0.3,0.1,0.0,0.0,0.0,Frank Kaminsky PF/C
279,1.0,"$3,200",0.3,4.14,0.4,0.3,0.1,0.0,0.0,0.0,Patrick Patterson PF/C
281,0.8,"$3,000",0.25,0.12,0.5,0,0.0,0.0,0.0,0.0,Xavier Tillman PF/C
283,0.8,"$3,000",0.25,0.11,0.5,0,0.0,0.0,0.0,0.0,Sean McDermott SF
285,0.7,"$3,000",0.23,0.91,0.3,0.2,0.1,0.0,0.0,0.1,Isaac Bonga SF/PF
287,0.6,"$3,000",0.19,0.78,0.3,0.1,0.1,0.0,0.0,0.0,Devin Vassell SF/PF
289,0.6,"$3,100",0.19,0.60,0.3,0.1,0.1,0.0,0.0,0.0,Jordan Poole PG/SG
291,0.6,"$3,000",0.19,0.71,0.3,0.1,0.1,0.0,0.0,0.0,E'Twaun Moore SG/SF
293,0.6,"$3,100",0.18,0.46,0.3,0.2,0.0,0.0,0.0,0.0,Boban Marjanovic C
295,0.5,"$3,100",0.15,0.47,0.3,0.1,0.0,0.0,0.0,0.0,Harry Giles C
297,0.5,"$3,500",0.13,0.53,0.2,0.2,0.0,0.0,0.0,0.0,Drew Eubanks C
299,0.4,"$3,000",0.13,0.09,0.3,0,0.0,0.0,0.0,0.0,Daniel Oturu C
301,0.4,"$3,000",0.13,0.50,0.2,0.1,0.0,0.0,0.0,0.0,Tyler Johnson PG/SG
303,0.4,"$3,000",0.13,0.50,0.1,0.1,0.1,0.0,0.0,0.0,Terance Mann PG/SG
305,0.3,"$3,000",0.11,0.61,0.2,0.1,0.0,0.0,0.0,0.0,Nicolas Claxton C
307,0.3,"$3,000",0.11,0.45,0.2,0.1,0.0,0.0,0.0,0.0,Luka Samanic PF
309,0.3,"$3,200",0.1,0.67,0.2,0.1,0.0,0.0,0.0,0.0,Jerome Robinson SG/SF
311,0.2,"$3,000",0.08,0.37,0.1,0.1,0.0,0.0,0.0,0.0,Juwan Morgan PF
313,0.2,"$3,000",0.08,0.45,0.1,0.1,0.0,0.0,0.0,0.0,Luke Kornet C
315,0.2,"$3,000",0.07,0.42,0.2,0,0.0,0.0,0.0,0.0,Quinn Cook PG
317,0.2,"$3,000",0.05,0.23,0.1,0,0.0,0.0,0.0,0.0,Miye Oni SG
319,0.2,"$3,000",0.05,0.12,0.1,0,0.0,0.0,0.0,0.0,Alfonzo McKinnie SF/PF
321,0.2,"$3,000",0.05,0.13,0.1,0,0.0,0.0,0.0,0.0,Jaden McDaniels PF
323,0.2,"$3,000",0.05,0.09,0.1,0,0.0,0.0,0.0,0.0,Markus Howard PG
325,0.1,"$3,000",0.03,0.14,0.1,0,0.0,0.0,0.0,0.0,Bol Bol C
327,0.1,"$3,000",0.03,0.27,0.1,0,0.0,0.0,0.0,0.0,Rodions Kurucs PF/C
329,0.1,"$3,000",0.03,0.26,0.1,0,0.0,0.0,0.0,0.0,Moritz Wagner C
331,0.1,"$3,000",0.03,0.12,0.1,0,0.0,0.0,0.0,0.0,Zeke Nnaji PF/C
333,0.1,"$3,000",0.03,0.24,0.1,0,0.0,0.0,0.0,0.0,Bruce Brown Jr. PG/SG
337,0.1,"$3,000",0.03,0.12,0.1,0,0.0,0.0,0.0,0.0,Kent Bazemore SF
339,0.1,"$3,000",0.03,0.25,0.1,0,0.0,0.0,0.0,0.0,Wesley Iwundu SF/PF
341,0.1,"$3,000",0.03,0.20,0.1,0,0.0,0.0,0.0,0.0,Nassir Little SF/PF
343,0.1,"$3,000",0.03,0.27,0.1,0,0.0,0.0,0.0,0.0,Jalen Smith PF/C
345,0.0,"$3,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Josh Okogie SF
347,0.0,"$3,600",0,3.87,0.0,0,0.0,0.0,0.0,0.0,Jarred Vanderbilt PF/C
349,0.0,"$3,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Jaylen Nowell PG/SG
351,0.0,"$3,000",0,0.13,0.0,0,0.0,0.0,0.0,0.0,Shaquille Harrison PG
353,0.0,"$5,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Derrick White PG/SG
355,0.0,"$7,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Michael Porter Jr. SF/PF
357,0.0,"$9,900",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Karl-Anthony Towns C
359,0.0,"$3,200",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Alex Caruso PG/SG
361,0.0,"$3,000",0,0.17,0.0,0,0.0,0.0,0.0,0.0,Jared Dudley SF/PF
363,0.0,"$3,000",0,0.12,0.0,0,0.0,0.0,0.0,0.0,Devontae Cacok PF
365,0.0,"$3,000",0,0.17,0.0,0,0.0,0.0,0.0,0.0,Udoka Azubuike C
367,0.0,"$3,000",0,0.13,0.0,0,0.0,0.0,0.0,0.0,Chris Chiozza PG
369,0.0,"$3,000",0,0.09,0.0,0,0.0,0.0,0.0,0.0,Vlatko Cancar SF
371,0.0,"$3,000",0,0.09,0.0,0,0.0,0.0,0.0,0.0,Tyrell Terry PG/SG
373,0.0,"$3,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Chandler Hutchison SF
375,0.0,"$3,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Ryan Arcidiacono PG
377,0.0,"$3,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Rodney Hood SG/SF
381,0.0,"$3,000",0,0.10,0.0,0,0.0,0.0,0.0,0.0,Alen Smailagic PF/C
383,0.0,"$5,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Lauri Markkanen PF
385,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Tomas Satoransky PG
387,0.0,"$5,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Marcus Morris SF/PF
389,0.0,"$3,000",0,0.11,0.0,0,0.0,0.0,0.0,0.0,Damian Jones C
391,0.0,"$3,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,Abdel Nader SF
393,0.0,"$3,000",0,0.12,0.0,0,0.0,0.0,0.0,0.0,Cristiano Felicio C
395,0.0,"$3,000",0,0.10,0.0,0,0.0,0.0,0.0,0.0,Elijah Hughes SF
